experiment,experiment_id,experiment_title,source,run,comparison_id,variant,strategy,seed,metric_ap,metric_name,roc_auc,precision,recall,f1,f1_macro,gmean,accuracy,specificity,false_positive_rate,alert_rate,decision_threshold,threshold_policy,best_val_ap,val_test_ap_gap,inference_seconds,inference_ms_per_1000,duration_seconds,peak_vram_gb,long_tail_recall,tp,fp,tn,fn,protocol,full_data,included_in_summary,notes
EXP10,10,Temporal robust,result\exp10\runs.csv,exp10_legacy_pilot_1m_536930f903a1662c_uniform_seed42,536930f903a1662c,exp10_legacy_pilot_1m_536930f903a1662c_uniform_seed42,uniform,42.0,0.0040885715686895,AP/AUPRC,0.6467801111775171,0.0057436054525961,0.3926701570680628,0.0113216091780511,0.4828204308850106,0.598865522659931,0.9126733333333332,0.9133363149076492,0.0866636850923509,0.0870533333333333,0.5,fixed,0.487631101493767,0.4835425299250774,0.0550586000026669,0.3670573333511129,51.19335819999105,0.0929131507873535,0.3926701570680628,75.0,12983.0,136826.0,116.0,,,True,"Robust features, balanced roots, dan validation selection temporal."
EXP10,10,Temporal robust,result\exp10\runs.csv,exp10_pilot_1m_2bf1b7b39ee22723_uniform_seed42,2bf1b7b39ee22723,exp10_pilot_1m_2bf1b7b39ee22723_uniform_seed42,uniform,42.0,0.0048895424886113,AP/AUPRC,0.8376572626386848,0.0009451795841209,0.0104712041884816,0.0017338534893801,0.4969988478849251,0.1016043398027975,0.9846466666666668,0.9858886982758044,0.0141113017241955,0.0141066666666666,0.8356286883354187,validation,0.2786046309707173,0.273715088482106,0.100963100005174,0.673087333367827,17.35050269999192,0.3129687309265136,0.0104712041884816,2.0,2114.0,147695.0,189.0,,,True,"Robust features, balanced roots, dan validation selection temporal."
EXP10,10,Temporal robust,result\exp10\runs.csv,exp10_temporal_robust_81de71eac888b22b_uniform_seed42,81de71eac888b22b,exp10_temporal_robust_81de71eac888b22b_uniform_seed42,uniform,42.0,0.0352682685448777,AP/AUPRC,0.8058014306544332,0.0377627822475992,0.0653345307588684,0.0478618421052631,0.5231383318777924,0.2553466923673657,0.9968349127332023,0.9979704843001976,0.0020295156998024,0.002106595480907,0.7548426985740662,validation,0.7227922855387842,0.6875240169939064,0.9848349999811036,0.2692251440954237,177.20976529998006,1.094548225402832,0.0653785666142439,291.0,7415.0,3646166.0,4163.0,,,True,"Robust features, balanced roots, dan validation selection temporal."
EXP11,11,Behavioral temporal,result\exp11\runs.csv,exp11_behavioral_temporal_533260b8f51244e6_importance_seed42_attempt0001,533260b8f51244e6,exp11_behavioral_temporal_533260b8f51244e6_importance_seed42_attempt0001,importance,42.0,0.1538505085909682,AP/AUPRC,0.9498149407553088,0.1856746614455865,0.2555006735518635,0.2150618917131248,0.6069624005973621,0.5051253755863669,0.9977291086607974,0.9986339429726616,0.0013660570273383,0.0016754897096391,0.737087607383728,validation,0.8050579862509749,0.6512074776600068,0.986871600000086,0.2697818910972929,239.0372997000004,1.515296459197998,0.2552235452707256,1138.0,4991.0,3648590.0,3316.0,,,True,Fitur perilaku strictly-past dan validation window terbaru.
EXP11,11,Behavioral temporal,result\exp11\runs.csv,exp11_behavioral_temporal_533260b8f51244e6_topology_seed42_attempt0001,533260b8f51244e6,exp11_behavioral_temporal_533260b8f51244e6_topology_seed42_attempt0001,topology,42.0,0.1877907398553105,AP/AUPRC,0.9208123096225712,0.3039344262295081,0.2081275258194881,0.2470682302771855,0.6231475824042643,0.4560773929699867,0.9984554549095348,0.9994189262534484,0.0005810737465516,0.0008337809780387,0.7279874682426453,validation,0.8298098706753524,0.6420191308200419,1.2691516000004412,0.3469490040419081,336.19464379999954,1.515296459197998,0.2080431363738485,927.0,2123.0,3651458.0,3527.0,,,True,Fitur perilaku strictly-past dan validation window terbaru.
EXP11,11,Behavioral temporal,result\exp11\runs.csv,exp11_pilot_1000000_control_86b93d7499aa1296_uniform_seed42,86b93d7499aa1296,exp11_pilot_1000000_control_86b93d7499aa1296_uniform_seed42,uniform,42.0,0.0048895424886113,AP/AUPRC,0.8376572626386848,0.0009451795841209,0.0104712041884816,0.0017338534893801,0.4969988478849251,0.1016043398027975,0.9846466666666668,0.9858886982758044,0.0141113017241955,0.0141066666666666,0.8356286883354187,validation,0.2786046309707173,0.273715088482106,0.0711328000179492,0.4742186667863279,12.076949200010858,0.3149299621582031,0.0104712041884816,2.0,2114.0,147695.0,189.0,,,True,Fitur perilaku strictly-past dan validation window terbaru.
EXP11,11,Behavioral temporal,result\exp11\runs.csv,exp11_pilot_1000000_features_only_6fcb3f02fa489c8a_uniform_seed42,6fcb3f02fa489c8a,exp11_pilot_1000000_features_only_6fcb3f02fa489c8a_uniform_seed42,uniform,42.0,0.1156794840211905,AP/AUPRC,0.9499176944995826,0.4444444444444444,0.0418848167539267,0.0765550239234449,0.5379556210443834,0.2046509733002045,0.9987133333333332,0.9999332483362148,6.675166378522501e-05,0.00012,0.900731325149536,validation,0.7147889858219787,0.5991095018007881,0.0762153999821748,0.5081026665478324,13.833297099976336,0.3556022644042969,0.0418848167539267,8.0,10.0,149799.0,183.0,,,True,Fitur perilaku strictly-past dan validation window terbaru.
EXP11,11,Behavioral temporal,result\exp11\runs.csv,exp11_pilot_1000000_main_4807fc0324d9a265_uniform_seed42,4807fc0324d9a265,exp11_pilot_1000000_main_4807fc0324d9a265_uniform_seed42,uniform,42.0,0.0625660405791624,AP/AUPRC,0.9040294379730084,0.1727272727272727,0.0994764397905759,0.1262458471760797,0.5626841500185585,0.3153030507432786,0.9982466666666666,0.9993925598595546,0.0006074401404454,0.0007333333333333,0.7813540101051331,validation,0.7298007080610222,0.6672346674818597,0.0935558999772183,0.6237059998481224,15.855404100002488,0.355595588684082,0.0994764397905759,19.0,91.0,149718.0,172.0,,,True,Fitur perilaku strictly-past dan validation window terbaru.
EXP11,11,Behavioral temporal,result\exp11\runs.csv,exp11_behavioral_temporal_533260b8f51244e6_uniform_seed42_attempt0001,533260b8f51244e6,exp11_behavioral_temporal_533260b8f51244e6_uniform_seed42_attempt0001,uniform,42.0,0.1747205826582898,AP/AUPRC,0.8830298308592883,0.2084332533972821,0.234171531207903,0.2205540283358003,0.6097725395906268,0.4836503448308227,0.9979847103704584,0.9989158581676444,0.0010841418323557,0.0013679475456085,0.4745828211307525,validation,0.8323026724169728,0.6575820897586829,1.0541229999998905,0.2881664609551003,334.9218845000005,1.2609210014343262,0.2341046955740283,1043.0,3961.0,3649620.0,3411.0,,,True,Fitur perilaku strictly-past dan validation window terbaru.
EXP12,12,Recent context,result\exp12\runs.csv,exp12_recent_context_7bdae5fe466252c7_importance_seed42,7bdae5fe466252c7,exp12_recent_context_7bdae5fe466252c7_importance_seed42,importance,42.0,0.2243866609010047,AP/AUPRC,0.9671920337665896,0.2942229038854805,0.2584193982936686,0.2751613674396366,0.6371657791205078,0.5081575656662508,0.9983422793931714,0.9992443030550028,0.0007556969449972,0.0010694266183893,0.2921955585479736,validation,0.852064156195731,0.6276774952947262,1.1258506999984093,0.3077747205804234,207.9352231000012,1.690806865692139,0.2579195686362615,1151.0,2761.0,3650820.0,3303.0,,,True,Fitur recent context tambahan dan validasi recent interleaved.
